,1,2,3,4,5,6,7,group
134783_0085,cello,synthesizer,bass,drums,guitar,voice,piano,160.0
064394_0135,cello,synthesizer,bass,drums,violin,guitar,saxophone,161.0
042753_0373,cello,synthesizer,bass,guitar,drums,piano,organ,162.0
107417_0339,cello,synthesizer,bass,piano,guitar,trombone,voice,163.0
154467_0405,cello,synthesizer,bass,trombone,guitar,violin,voice,164.0
035212_0109,cello,synthesizer,drums,voice,guitar,violin,bass,165.0
147751_0689,cello,synthesizer,violin,guitar,voice,piano,drums,166.0
021548_0953,cello,violin,bass,guitar,piano,voice,organ,167.0
107862_0105,cello,violin,bass,guitar,voice,piano,drums,168.0
025867_0882,cello,violin,bass,guitar,voice,piano,saxophone,169.0
112162_0142,cello,violin,bass,piano,organ,trombone,synthesizer,170.0
139362_0636,cello,violin,bass,voice,guitar,drums,piano,171.0
151527_0124,cello,violin,synthesizer,bass,guitar,drums,piano,172.0
130359_0140,cello,violin,synthesizer,voice,drums,bass,bagpipes,173.0
152846_0095,cello,voice,bass,drums,synthesizer,guitar,violin,174.0
065531_0063,cello,voice,drums,violin,guitar,synthesizer,bass,175.0
148906_0094,cello,voice,guitar,bass,saxophone,drums,synthesizer,176.0
083599_0159,cello,voice,guitar,drums,bass,synthesizer,violin,177.0
091352_0004,cello,voice,guitar,synthesizer,piano,bass,violin,178.0
132922_0028,cello,voice,guitar,violin,bass,synthesizer,drums,179.0
041225_0084,cello,voice,violin,bass,guitar,organ,drums,180.0
018419_0639,cello,voice,violin,guitar,bass,piano,organ,181.0
124323_0352,cello,voice,violin,organ,synthesizer,guitar,drums,182.0
120106_0248,clarinet,guitar,violin,voice,organ,synthesizer,piano,183.0
133673_0001,clarinet,trumpet,piano,harmonica,flute,saxophone,trombone,184.0
125522_0280,clarinet,violin,flute,synthesizer,accordion,organ,harmonica,185.0
120124_0037,cymbals,drums,voice,mallet_percussion,synthesizer,violin,guitar,186.0
010370_1831,drums,accordion,voice,violin,guitar,cello,saxophone,187.0
096167_0225,drums,bagpipes,guitar,violin,voice,mandolin,accordion,188.0
050189_0230,drums,bagpipes,guitar,voice,piano,mallet_percussion,cymbals,189.0
038209_0519,drums,bagpipes,guitar,voice,violin,cymbals,bass,190.0
059883_0019,drums,bagpipes,voice,cymbals,violin,guitar,piano,191.0
151496_0503,drums,bagpipes,voice,flute,violin,guitar,trumpet,192.0
085664_0100,drums,bagpipes,voice,guitar,violin,synthesizer,cymbals,193.0
081866_0047,drums,bagpipes,voice,synthesizer,violin,guitar,piano,194.0
052767_0195,drums,banjo,guitar,voice,ukulele,violin,mandolin,195.0
088968_0013,drums,banjo,voice,guitar,piano,trombone,bass,196.0
034180_0026,drums,banjo,voice,guitar,synthesizer,ukulele,violin,197.0
145411_0103,drums,bass,guitar,synthesizer,voice,piano,cymbals,198.0
048418_0269,drums,bass,guitar,trombone,voice,synthesizer,saxophone,199.0
076332_0009,drums,cello,guitar,bass,voice,synthesizer,violin,200.0
107127_0113,drums,cello,synthesizer,bass,saxophone,voice,guitar,201.0
154122_0563,drums,cello,synthesizer,guitar,bass,violin,piano,202.0
084739_0052,drums,cello,synthesizer,voice,guitar,bass,violin,203.0
081343_0115,drums,cello,violin,voice,bass,piano,guitar,204.0
134781_0034,drums,cello,voice,bass,guitar,synthesizer,violin,205.0
018330_0043,drums,cello,voice,synthesizer,violin,bass,guitar,206.0
031979_1633,drums,cello,voice,violin,bass,guitar,synthesizer,207.0
076132_0540,drums,cymbals,guitar,bass,synthesizer,voice,piano,208.0
032359_0111,drums,cymbals,guitar,bass,voice,synthesizer,piano,209.0
135896_0001,drums,cymbals,guitar,mallet_percussion,saxophone,voice,bass,210.0
118250_0194,drums,cymbals,guitar,mallet_percussion,voice,bass,piano,211.0
085123_0132,drums,cymbals,guitar,mallet_percussion,voice,bass,synthesizer,212.0
036250_0202,drums,cymbals,guitar,piano,voice,synthesizer,mallet_percussion,213.0
094844_0075,drums,cymbals,guitar,saxophone,voice,bass,synthesizer,214.0
020577_0268,drums,cymbals,guitar,synthesizer,bass,piano,voice,215.0
097880_0123,drums,cymbals,guitar,synthesizer,bass,voice,piano,216.0
003840_0182,drums,cymbals,guitar,synthesizer,violin,voice,piano,217.0
087643_0123,drums,cymbals,guitar,synthesizer,voice,bass,piano,218.0
134533_0061,drums,cymbals,guitar,synthesizer,voice,bass,piano,218.0
043472_0129,drums,cymbals,guitar,synthesizer,voice,bass,piano,218.0
094843_0224,drums,cymbals,guitar,synthesizer,voice,piano,bass,219.0
032355_0062,drums,cymbals,guitar,violin,voice,piano,organ,220.0
059348_0333,drums,cymbals,guitar,voice,bass,mallet_percussion,saxophone,221.0
110363_0361,drums,cymbals,guitar,voice,bass,mallet_percussion,synthesizer,222.0
112868_0259,drums,cymbals,guitar,voice,bass,mallet_percussion,synthesizer,222.0
122490_0046,drums,cymbals,guitar,voice,bass,mallet_percussion,synthesizer,222.0
105393_0002,drums,cymbals,guitar,voice,bass,mallet_percussion,synthesizer,222.0
124408_0146,drums,cymbals,guitar,voice,bass,piano,saxophone,223.0
068226_0374,drums,cymbals,guitar,voice,bass,saxophone,mallet_percussion,224.0
060361_0008,drums,cymbals,guitar,voice,bass,synthesizer,mallet_percussion,225.0
050822_0006,drums,cymbals,guitar,voice,bass,synthesizer,piano,226.0
103883_0002,drums,cymbals,guitar,voice,bass,synthesizer,piano,226.0
020576_0007,drums,cymbals,guitar,voice,bass,synthesizer,piano,226.0
117670_0206,drums,cymbals,guitar,voice,bass,synthesizer,piano,226.0
036453_0204,drums,cymbals,guitar,voice,bass,synthesizer,piano,226.0
085019_0201,drums,cymbals,guitar,voice,bass,synthesizer,piano,226.0
142763_0167,drums,cymbals,guitar,voice,bass,synthesizer,piano,226.0
001358_0095,drums,cymbals,guitar,voice,mallet_percussion,bass,bagpipes,227.0
150467_1260,drums,cymbals,guitar,voice,mallet_percussion,bass,synthesizer,228.0
087015_0105,drums,cymbals,guitar,voice,saxophone,bass,piano,229.0
130365_0984,drums,cymbals,guitar,voice,synthesizer,bass,mallet_percussion,230.0
153339_0250,drums,cymbals,guitar,voice,synthesizer,bass,piano,231.0
139738_0214,drums,cymbals,guitar,voice,synthesizer,bass,piano,231.0
023654_0136,drums,cymbals,guitar,voice,synthesizer,bass,piano,231.0
087059_0205,drums,cymbals,guitar,voice,synthesizer,bass,piano,231.0
108760_0062,drums,cymbals,guitar,voice,synthesizer,bass,piano,231.0
134527_0259,drums,cymbals,guitar,voice,synthesizer,mallet_percussion,bass,232.0
014780_0070,drums,cymbals,guitar,voice,synthesizer,piano,bass,233.0
064103_0117,drums,cymbals,guitar,voice,synthesizer,piano,bass,233.0
143508_0007,drums,cymbals,guitar,voice,synthesizer,piano,bass,233.0
066874_0067,drums,cymbals,guitar,voice,synthesizer,piano,bass,233.0
008912_0742,drums,cymbals,guitar,voice,synthesizer,piano,mallet_percussion,234.0
136036_0004,drums,cymbals,mallet_percussion,voice,guitar,bass,piano,235.0
041992_1716,drums,cymbals,saxophone,guitar,bass,trumpet,voice,236.0
004496_0141,drums,cymbals,saxophone,guitar,piano,voice,synthesizer,237.0
054786_0206,drums,cymbals,saxophone,guitar,trombone,trumpet,voice,238.0
089974_0164,drums,cymbals,saxophone,guitar,voice,trumpet,trombone,239.0
059865_0021,drums,cymbals,saxophone,synthesizer,guitar,voice,violin,240.0
104164_0158,drums,cymbals,saxophone,voice,guitar,trumpet,trombone,241.0
119561_0131,drums,cymbals,synthesizer,guitar,bass,voice,piano,242.0
030701_0336,drums,cymbals,synthesizer,guitar,trombone,trumpet,piano,243.0
001328_0247,drums,cymbals,synthesizer,guitar,voice,bass,piano,244.0
086556_0178,drums,cymbals,synthesizer,guitar,voice,bass,piano,244.0
082064_0360,drums,cymbals,synthesizer,guitar,voice,bass,piano,244.0
012975_0000,drums,cymbals,synthesizer,guitar,voice,bass,piano,244.0
151814_0261,drums,cymbals,synthesizer,guitar,voice,piano,bass,245.0
137728_0301,drums,cymbals,synthesizer,guitar,voice,piano,bass,245.0
116126_0044,drums,cymbals,synthesizer,guitar,voice,violin,piano,246.0
025351_0492,drums,cymbals,synthesizer,voice,guitar,piano,violin,247.0
022902_0057,drums,cymbals,synthesizer,voice,guitar,piano,violin,247.0
138895_0025,drums,cymbals,trumpet,trombone,saxophone,piano,synthesizer,248.0
103875_0102,drums,cymbals,voice,guitar,bass,mallet_percussion,piano,249.0
091961_0019,drums,cymbals,voice,guitar,bass,mallet_percussion,saxophone,250.0
033144_0142,drums,cymbals,voice,guitar,bass,mallet_percussion,saxophone,250.0
071655_0082,drums,cymbals,voice,guitar,bass,mallet_percussion,saxophone,250.0
006638_0847,drums,cymbals,voice,guitar,bass,saxophone,mallet_percussion,251.0
004758_0068,drums,cymbals,voice,guitar,bass,saxophone,organ,252.0
150818_0040,drums,cymbals,voice,guitar,bass,synthesizer,mallet_percussion,253.0
083085_0304,drums,cymbals,voice,guitar,bass,synthesizer,organ,254.0
014090_0084,drums,cymbals,voice,guitar,synthesizer,bass,piano,255.0
083161_2505,drums,cymbals,voice,guitar,synthesizer,bass,piano,255.0
046758_0145,drums,cymbals,voice,guitar,synthesizer,piano,bass,256.0
135768_0140,drums,cymbals,voice,guitar,synthesizer,piano,bass,256.0
050508_0017,drums,cymbals,voice,guitar,synthesizer,violin,piano,257.0
032959_0207,drums,cymbals,voice,guitar,violin,synthesizer,piano,258.0
006641_0067,drums,cymbals,voice,piano,mallet_percussion,guitar,synthesizer,259.0
125159_0070,drums,cymbals,voice,synthesizer,guitar,bass,piano,260.0
143946_0072,drums,cymbals,voice,synthesizer,guitar,violin,piano,261.0
003779_0429,drums,cymbals,voice,violin,guitar,synthesizer,bagpipes,262.0
062534_0010,drums,cymbals,voice,violin,synthesizer,trumpet,guitar,263.0
075520_0006,drums,flute,cymbals,guitar,voice,bass,violin,264.0
106796_1300,drums,flute,guitar,piano,trumpet,clarinet,cymbals,265.0
106359_0401,drums,flute,guitar,voice,mallet_percussion,piano,synthesizer,266.0
047053_0039,drums,flute,mallet_percussion,cymbals,piano,synthesizer,guitar,267.0
063629_0344,drums,flute,synthesizer,violin,voice,organ,accordion,268.0
031026_0090,drums,flute,synthesizer,voice,piano,guitar,organ,269.0
081687_0056,drums,flute,synthesizer,voice,violin,mallet_percussion,guitar,270.0
047059_0005,drums,flute,trumpet,synthesizer,saxophone,trombone,guitar,271.0
100382_0519,drums,flute,violin,guitar,voice,trumpet,saxophone,272.0
047061_0107,drums,flute,violin,voice,piano,harmonica,guitar,273.0
006639_0119,drums,flute,violin,voice,piano,organ,synthesizer,274.0
064571_0238,drums,flute,voice,guitar,cymbals,saxophone,trumpet,275.0
134241_0044,drums,flute,voice,guitar,harmonica,violin,synthesizer,276.0
094023_1644,drums,flute,voice,guitar,mallet_percussion,violin,cymbals,277.0
064718_0990,drums,flute,voice,guitar,piano,violin,mallet_percussion,278.0
142343_0239,drums,flute,voice,guitar,synthesizer,cymbals,bass,279.0
070807_0396,drums,flute,voice,synthesizer,violin,guitar,bass,280.0
121274_0084,drums,flute,voice,synthesizer,violin,guitar,bass,280.0
055868_0243,drums,guitar,accordion,cymbals,voice,violin,synthesizer,281.0
085949_0025,drums,guitar,accordion,voice,bass,harmonica,cymbals,282.0
004100_0015,drums,guitar,bagpipes,synthesizer,saxophone,violin,piano,283.0
097850_0246,drums,guitar,bass,cymbals,voice,mallet_percussion,synthesizer,284.0
142335_0775,drums,guitar,bass,cymbals,voice,synthesizer,cello,285.0
043848_0176,drums,guitar,bass,cymbals,voice,synthesizer,mallet_percussion,286.0
064485_0079,drums,guitar,bass,cymbals,voice,synthesizer,piano,287.0
069055_0167,drums,guitar,bass,cymbals,voice,synthesizer,piano,287.0
145337_0122,drums,guitar,bass,piano,synthesizer,voice,mallet_percussion,288.0
064795_0068,drums,guitar,bass,piano,synthesizer,voice,organ,289.0
129209_0434,drums,guitar,bass,synthesizer,cello,piano,voice,290.0
065016_0163,drums,guitar,bass,synthesizer,cymbals,piano,voice,291.0
065014_0062,drums,guitar,bass,synthesizer,cymbals,voice,piano,292.0
056753_0346,drums,guitar,bass,synthesizer,mallet_percussion,cymbals,cello,293.0
137238_0154,drums,guitar,bass,synthesizer,voice,cymbals,piano,294.0
051402_0170,drums,guitar,bass,synthesizer,voice,cymbals,piano,294.0
063990_0301,drums,guitar,bass,synthesizer,voice,cymbals,piano,294.0
032316_0113,drums,guitar,bass,synthesizer,voice,cymbals,piano,294.0
053944_0064,drums,guitar,bass,synthesizer,voice,cymbals,saxophone,295.0
012463_0857,drums,guitar,bass,synthesizer,voice,piano,cymbals,296.0
050193_0157,drums,guitar,bass,synthesizer,voice,piano,cymbals,296.0
144599_0355,drums,guitar,bass,synthesizer,voice,piano,organ,297.0
140796_0193,drums,guitar,bass,synthesizer,voice,piano,organ,297.0
079885_0026,drums,guitar,bass,violin,synthesizer,voice,cello,298.0
072533_0016,drums,guitar,bass,voice,cymbals,saxophone,trombone,299.0
010932_0033,drums,guitar,bass,voice,cymbals,synthesizer,piano,300.0
060980_0153,drums,guitar,bass,voice,cymbals,synthesizer,piano,300.0
110992_0174,drums,guitar,bass,voice,cymbals,synthesizer,piano,300.0
053195_0227,drums,guitar,bass,voice,cymbals,violin,piano,301.0
021560_0053,drums,guitar,bass,voice,piano,organ,synthesizer,302.0
073416_0063,drums,guitar,bass,voice,piano,synthesizer,organ,303.0
032556_0195,drums,guitar,bass,voice,synthesizer,cymbals,piano,304.0
057193_0094,drums,guitar,bass,voice,synthesizer,cymbals,piano,304.0
079824_0133,drums,guitar,bass,voice,synthesizer,cymbals,piano,304.0
103869_0084,drums,guitar,bass,voice,synthesizer,cymbals,piano,304.0
074030_0122,drums,guitar,bass,voice,synthesizer,cymbals,piano,304.0
051302_0324,drums,guitar,bass,voice,synthesizer,cymbals,piano,304.0
026041_0121,drums,guitar,bass,voice,synthesizer,organ,piano,305.0
024224_0317,drums,guitar,bass,voice,synthesizer,piano,cymbals,306.0
083679_0095,drums,guitar,bass,voice,synthesizer,piano,cymbals,306.0
016988_0187,drums,guitar,bass,voice,synthesizer,piano,organ,307.0
085020_0106,drums,guitar,bass,voice,synthesizer,piano,organ,307.0
068370_0345,drums,guitar,bass,voice,ukulele,cymbals,synthesizer,308.0
028647_0020,drums,guitar,cymbals,bass,synthesizer,voice,piano,309.0
083562_0263,drums,guitar,cymbals,bass,synthesizer,voice,piano,309.0
107128_0174,drums,guitar,cymbals,bass,voice,piano,synthesizer,310.0
107377_0013,drums,guitar,cymbals,bass,voice,piano,synthesizer,310.0
017392_0070,drums,guitar,cymbals,bass,voice,saxophone,piano,311.0
001102_0220,drums,guitar,cymbals,bass,voice,saxophone,trombone,312.0
026693_0319,drums,guitar,cymbals,bass,voice,synthesizer,piano,313.0
081181_0211,drums,guitar,cymbals,bass,voice,synthesizer,piano,313.0
070135_0014,drums,guitar,cymbals,bass,voice,synthesizer,piano,313.0
079341_0190,drums,guitar,cymbals,bass,voice,synthesizer,piano,313.0
114332_0481,drums,guitar,cymbals,bass,voice,synthesizer,piano,313.0
124934_0036,drums,guitar,cymbals,bass,voice,synthesizer,saxophone,314.0
114642_0130,drums,guitar,cymbals,piano,synthesizer,bass,saxophone,315.0
019483_0059,drums,guitar,cymbals,piano,synthesizer,voice,bass,316.0
124137_0167,drums,guitar,cymbals,piano,voice,synthesizer,bass,317.0
150599_0142,drums,guitar,cymbals,piano,voice,synthesizer,bass,317.0
129336_0135,drums,guitar,cymbals,piano,voice,violin,synthesizer,318.0
098460_0131,drums,guitar,cymbals,saxophone,bass,violin,voice,319.0
012374_0315,drums,guitar,cymbals,saxophone,voice,piano,bass,320.0
109187_0198,drums,guitar,cymbals,synthesizer,bass,voice,mallet_percussion,321.0
